Country,2011,2009
Austria,170 (97),172
Belgium,123,123
Bulgaria,8 (5),8
Croatia,6,8
Cyprus,2,2
Czech Republic,55 (130),?
Denmark,150,120
Estonia,6,4
Finland,25,5
France,442,78
Germany,1341,1327
Greece,17,7
Hungary,?,4
Ireland,26,?
Italy,391,301
Latvia,?,15
Lithuania,73,?
Luxembourg,3,?
Malta,1,?
Netherlands,125,12
Norway,32,?
Poland,117,64
Portugal,7,7
Romania,20,11
Slovakia,5,6
Slovenia,?,?
Spain,88 (70),20
Sweden,65,40
Switzerland,360,280
Turkey,11,11
United Kingdom,946,745
