Country,2003 (000 hl),2004 (000 hl),2005 (000 hl),2006 (000 hl),2007 (000 hl),2008 (000 hl),2009 (000 hl),2010 (000 hl),2011 (000 hl)
Austria,8979,8881,8966,8949,8996,9146,8905,8878,9105
Belgium,9935,9564,9475,9370,9137,8794,8680,8439,8574
Bulgaria,4254,4215,4224,4778,5306,5373,4872,4891,5100
Croatia,3774,3640,3580,3629,3780,3780,3500,3321,3683
Cyprus,450,378,381,368,386,399,379,392,450
Czech Republic,18748,18953,19269,19987,20097,20106,16190,15549,15583
Denmark,5181,4862,4694,4605,4483,4298,3946,3586,3654
Estonia,960,1097,1255,1344,1338,1225,1164,1063,960
Finland,4660,4557,4600,4669,4797,4737,4682,4625,4732
France,21117,20223,20354,20250,20246,19735,20014,19730,20000
Germany,97188,95682,95080,95492,91885,91132,89853,87872,87655
Greece,4238,4196,4186,4295,4531,4583,4329,4092,4005
Hungary,7326,6479,6770,7152,7335,7181,6500,6100,6464
Ireland,5315,5206,5117,5508,5451,5193,4832,4814,4721
Italy,17453,17194,17340,17851,18513,17836,16855,17249,17715
Latvia,1467,1347,1396,1515,1597,1551,1423,1492,1626
Lithuania,2613,2790,3080,3093,3034,3040,2584,2924,2932
Luxembourg,518,525,518,481,489,381,409,317,325
Malta,123,126,117,149,166,188,199,196,189
Netherlands,12687,12747,12941,12974,12644,12910,12036,11956,11974
Norway,2250,2399,2398,2496,2553,2560,2516,2434,2426
Poland,28404,29363,30669,32763,35467,35861,34084,34385,36007
Portugal,6008,6267,6224,6278,6205,6200,6100,5900,5320
Romania,12836,14500,15200,17700,19400,20200,17572,17000,17000
Slovakia,4860,4450,4320,4357,4280,4178,4050,3608,3997
Slovenia,1531,1541,1612,1703,1767,1820,1740,1663,1685
Spain,33461,34260,34425,35812,36375,35692,35774,35280,35196
Sweden,4990,4680,4669,4871,4860,4771,4884,4894,4806
Switzerland,4334,4263,4132,4288,4370,4489,4480,4526,4626
Turkey,7939,8120,8188,8020,8430,9244,9231,9215,8244
United Kingdom,60301,59195,57572,55748,53449,51282,46817,45873,44843
