Country,2009 (000 hl),2010 (000 hl),2011 (000 hl)
Austria,8728,8670,8917
Belgium,18009,18122,18571
Bulgaria,4825,4800,4820
Croatia,3673,3438,3737
Cyprus,355,340,316
Czech Republic,18618,17661,18181
Denmark,6046,6335,6590
Estonia,1234,1312,1360
Finland,4491,4235,4220
France,14731,16290,15910
Germany,98078,95683,95545
Greece,4177,3940,3700
Hungary,6348,6295,6249
Ireland,8041,8249,8514
Italy,12776,12814,13410
Latvia,1357,1455,1529
Lithuania,2794,2925,2922
Luxembourg,325,301,330
Malta,104,130,127
Netherlands,25376,23936,23644
Norway,2516,2434,2346
Poland,35992,36620,37854
Portugal,7833,8312,8299
Romania,17600,16920,16900
Slovakia,3264,3111,3123
Slovenia,1443,1826,1640
Spain,35876,35199,33573
Sweden,4455,4349,4491
Switzerland,3555,3538,3546
Turkey,9231,10278,9212
United Kingdom,45141,44997,45694
